plateforme;identifiant;url_actuelle;titre_vimeo;duree;etat;deja_dans_sanity;nb_usages;ou_elle_est_utilisee;URL_LIVID;fait
vimeo;742588143;https://vimeo.com/742588143;E-XPERT Solutions | DEVSECOPS;1:51;public;oui;3;ch:/video-publicitaire/ | fr:/realisations/e-xpert-solutions-devsecops-pub-decalee/ | fr:/video-publicitaire/;;
vimeo;298176741;https://vimeo.com/298176741;Clip report MASSY PLACE DU GRAND OUEST;1:15;public;oui;3;en:/corporate-film-paris-15-years-of-experience/ | fr:/film-d-entreprise-paris-15-ans-d-experience/ | fr:/realisations/clip-report-event-massy-grand-ouest/;;
vimeo;276255140;https://vimeo.com/276255140;NAOS - Talks of Naosians - Soumare;1:42;public;oui;3;en:/corporate-film-paris-15-years-of-experience/ | fr:/film-d-entreprise-paris-15-ans-d-experience/ | fr:/realisations/naos-interview-collaborateur/;;
vimeo;745758314;https://vimeo.com/745758314;STANN Film Presentation;3:12;public;oui;3;en:/actualites/stann/ | fr:/actualites/stann/ | fr:/realisations/stann-presentation-video-de-l-application/;;
vimeo;877031650;https://vimeo.com/877031650;MASE - MAD;3:36;public;oui;3;en:/actualites/mase-rhone-alpes-motions/ | fr:/actualites/mase-4-motions/ | fr:/realisations/mase-rhone-alpes-motion-design/;;
vimeo;780750761;https://vimeo.com/780750761;ARTCURIAL - Mapping 20 ans;3:45;public;oui;3;en:/actualites/artcurial-mapping-20-years/ | fr:/actualites/artcurial-20ans/ | fr:/realisations/artcurial-video-mapping/;;
vimeo;375622318;https://vimeo.com/375622318;GL_EVENTS - EQUITA - Daylynews - Jour2;1:51;public;oui;3;en:/actualites/equita-lyon-dailynews/ | fr:/actualites/equita-lyon-dailynews/ | fr:/realisations/equita-lyon-dailynews-video-2022/;;
vimeo;851622826;https://vimeo.com/851622826;ARAVI - Castellet - Highlight - J2 - 2023;2:19;public;oui;3;en:/actualites/aravi-season-2022-2023/ | fr:/actualites/aravi-saison-2022-2023/ | fr:/realisations/aravi-saison-2022-2023-reportages-video/;;
vimeo;875544870;https://vimeo.com/875544870;Guitare En Scène - GES 2023 - Aftermovie 5min;5:07;public;oui;3;en:/actualites/guitare-en-scene-2023/ | fr:/actualites/guitare-en-scene-2023/ | fr:/realisations/guitare-en-scene-edition-2023-video-evenement/;;
vimeo;875510106;https://vimeo.com/875510106;SANTOS - I-GRIND Coffee Grinder - Reveal;1:02;public;oui;3;en:/actualites/santos-i-grind-the-coffee-mill/ | fr:/actualites/santos-i-grind/ | fr:/realisations/santos-i-grind-coffee-grinder-reveal/;;
vimeo;425805139;https://vimeo.com/425805139;"bluevista creative | ""Unicorn Team""";1:24;public;oui;3;en:/actualites/bluevista-creative-unicorn-team/ | fr:/actualites/bluevista-creative-unicorn-team/ | fr:/realisations/bluevista-creative-unicorn-team/;;
vimeo;417642356;https://vimeo.com/417642356;"bluevista creative | ""Une vraie équipe #3 - la productivité""";0:44;public;oui;3;en:/actualites/bluevista-creative-video-a-real-team-3-productivity/ | fr:/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/ | fr:/realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;;
vimeo;417642483;https://vimeo.com/417642483;"bluevista creative | ""Une vraie équipe #2 - la diversité""";0:45;public;oui;3;en:/actualites/bluevista-creative-video-a-real-team-2-diversity/ | fr:/actualites/bluevista-creative-video-une-vraie-equipe-2-la-diversite/ | fr:/realisations/bluevista-creative-une-vraie-equipe-2-la-diversite/;;
