query;clics;impressions;ctr;position
"audiovisuel geneve";0;62;0.00;23.1
"audiovisuel genève";0;642;0.00;23.3
"audiovisuel suisse";0;13;0.00;53.1
"autre agence";0;1;0.00;1.0
"blu3 vista";0;1;0.00;23.0
"blue hill avenue film";0;1;0.00;10.0
"blue video cinema";0;1;0.00;10.0
"bluevisions.ch";0;5;0.00;71.4
"bluevista tv";0;1;0.00;2.0
"bluevista.tv";0;4;0.00;6.0
"blurvista";0;1;0.00;6.0
"blusti tv";0;1;0.00;29.0
"bluvista.de";0;3;0.00;9.0
"boite d'animation";0;5;0.00;7.0
"boite de location audiovisuel genève";0;3;0.00;57.0
"boite de prod";0;2;0.00;6.5
"boite de prod genève";0;436;0.00;28.6
"boite de production";0;2;0.00;75.5
"boite de production audiovisuelle";0;33;0.00;49.3
"boite de production cinema";0;2;0.00;83.0
"boite de production geneve";0;52;0.00;23.1
"boite de production genève";0;377;0.00;29.1
"boite de production suisse";0;4;0.00;61.3
"boite de production vidéo";0;368;0.00;35.5
"boite production audiovisuelle";0;8;0.00;14.3
"boite production genève";0;330;0.00;30.9
"boite production suisse";0;46;0.00;50.0
"brand film production geneva";0;23;0.00;20.5
"brand film switzerland";0;3;0.00;7.7
"brovista";0;1;0.00;3.0
"busevista";0;1;0.00;7.0
"business video production";0;3;0.00;54.7
"business video service";0;11;0.00;46.1
"cameraman genève";0;75;0.00;7.5
"cameraman in geneva";0;51;0.00;14.9
"campus infographie 3d genève";0;1;0.00;15.0
"canard";0;1;0.00;13.0
"captation";0;2;0.00;54.5
"captation conférences suisse";0;494;0.00;45.6
"captation d'événements";0;25;0.00;25.0
"captation live concert geneve";0;399;0.00;51.9
"captation live conférence geneve";0;470;0.00;40.5
"captation live conférence lausanne";0;7;0.00;92.6
"captation live spectacle geneve";0;540;0.00;40.3
"captation live suisse";0;287;0.00;39.6
"captation streaming suisse";0;616;0.00;39.2
"captation vidéo";0;1;0.00;69.0
"captation vidéo geneve";0;181;0.00;27.8
"captation vidéo suisse";0;526;0.00;59.5
"cinema 4d geneve";0;2;0.00;21.5
"cinema geneve";0;1;0.00;4.0
"clip video suisse";0;38;0.00;15.3
"coach mise en scene 3d";0;1;0.00;5.0
"compagnie realisation video";0;1;0.00;4.0
"corporate film agentur";0;11;0.00;84.3
"corporate film geneva";0;181;0.00;8.6
"corporate film production";0;34;0.00;62.3
"corporate film production company";0;1;0.00;81.0
"corporate film zug";0;15;0.00;56.2
"corporate films";0;1;0.00;49.0
"corporate video";0;2;0.00;18.0
"corporate video agency";0;13;0.00;70.0
"corporate video agentur";0;3;0.00;74.7
"corporate video company";0;20;0.00;82.6
"corporate video geneva";0;363;0.00;22.1
"corporate video producer";0;2;0.00;76.0
"corporate video production";0;404;0.00;63.3
"corporate video production company";0;1;0.00;77.0
"corporate video production geneva";0;107;0.00;20.5
"corporate video production services";0;4;0.00;77.8
"corporate video production switzerland";0;4;0.00;19.0
"corporate video service";0;284;0.00;49.2
"corporate video services";0;133;0.00;64.9
"corporate videographer";0;1;0.00;68.0
"corporate videographer geneva";0;225;0.00;7.5
"corporate vidéo";0;40;0.00;24.1
"cours de drone en ligne gratuit";0;1;0.00;1.0
"create immersive";0;1;0.00;23.0
"creation societe geneve";0;1;0.00;93.0
"creation web tv";0;1;0.00;22.0
"creative studio geneva";0;11;0.00;21.3
"création de vidéos genève";0;627;0.00;10.4
"création motion design";0;19;0.00;12.3
"création vidéo genève";0;12;0.00;5.0
"création webtv genève";0;144;0.00;2.1
"créer une web tv";0;2;0.00;86.0
"ctv en direct sur internet";0;1;0.00;2.0
"design graphique et 3d suisse";0;5;0.00;19.2
"designer 3d freelance suisse";0;9;0.00;46.4
"devis motion design";0;94;0.00;13.4
"devis réalisation vidéo";0;2;0.00;12.0
"devis suisse";0;1;0.00;88.0
"devis video";0;8;0.00;53.3
"devis vidéo";0;6;0.00;69.2
"devis vidéo corporate";0;94;0.00;27.0
"diffusion live tv";0;1;0.00;6.0
"docuvista";0;1;0.00;9.0
"drone en photo / vidéo";0;1;0.00;68.0
"drone geneve";0;35;0.00;48.0
"drone show geneva";0;2;0.00;57.0
"drone video";0;23;0.00;31.6
"drones geneve";0;5;0.00;52.8
"entreprise animation 2d";0;2;0.00;10.0
"entreprise animation 3d";0;4;0.00;44.5
"entreprise audiovisuel";0;296;0.00;45.4
"entreprise audiovisuel genève";0;422;0.00;19.6
"entreprise audiovisuelle";0;19;0.00;60.4
"entreprise audiovisuelle suisse";0;225;0.00;35.5
"entreprise d audiovisuel";0;196;0.00;38.6
"entreprise d'animation";0;4;0.00;8.3
"entreprise d'audiovisuel";0;220;0.00;35.7
"entreprise de film";0;31;0.00;39.4
"entreprise de montage vidéo";0;29;0.00;66.9
"entreprise de production audiovisuelle";0;77;0.00;51.8
"entreprise dessin animé";0;1;0.00;11.0
"entreprise modélisation 3d";0;1;0.00;11.0
"entreprise montage video";0;56;0.00;73.6
"entreprise montage vidéo";0;43;0.00;23.8
"entreprise motion design";0;175;0.00;10.6
"entreprise production audiovisuelle";0;157;0.00;48.8
"entreprise vidéo";0;1;0.00;11.0
"event live broadcasting switzerland";0;2;0.00;71.5
"event video production company";0;1;0.00;62.0
"expertise moto suisse";0;1;0.00;51.0
"film company geneva";0;21;0.00;80.1
"film corporate entreprise";0;151;0.00;13.7
"film corporate haut de gamme";0;81;0.00;49.3
"film creation company";0;1;0.00;1.0
"film d entreprise";0;118;0.00;21.9
"film d'animation genève";0;22;0.00;45.0
"film d'entreprise";0;3;0.00;17.3
"film d'entreprise geneve";0;207;0.00;5.9
"film d'entreprise genève";0;95;0.00;12.3
"film de marque pour pme";0;11;0.00;11.1
"film de marque suisse";0;58;0.00;9.2
"film entreprise";0;277;0.00;26.6
"film entreprise geneve";0;158;0.00;11.5
"film marque";0;3;0.00;89.7
"film motion design";0;5;0.00;38.8
"film production geneva";0;2;0.00;82.5
"film présentation entreprise";0;39;0.00;24.3
"film publicitaire genève";0;17;0.00;35.5
"film vista";0;1;0.00;1.0
"film évènementiel captation intégrale";0;2;0.00;37.0
"films publicitaires";0;1;0.00;1.0
"fond vert cinéma";0;1;0.00;89.0
"fotografia e video aziendali in ticino";0;1;0.00;89.0
"fotovista";0;13;0.00;52.2
