query;clics;impressions;ctr;position
"agence video";0;275;0.00;55.2
"agence video 360";0;14;0.00;60.6
"agence video 91";0;4;0.00;46.5
"agence video ads";0;317;0.00;35.2
"agence video animation";0;78;0.00;63.4
"agence video annecy geneve";0;7;0.00;22.4
"agence video b2b";0;2;0.00;10.0
"agence video brignais";0;30;0.00;27.8
"agence video chaponost";0;7;0.00;91.1
"agence video corporate";0;43;0.00;19.0
"agence video cotes d'armor";0;1;0.00;101.0
"agence video d animation";0;2;0.00;43.5
"agence video entreprise";0;315;0.00;52.5
"agence video entreprise lyon";0;248;0.00;30.1
"agence video evenementielle";0;1;0.00;28.0
"agence video explicative";0;40;0.00;65.9
"agence video france";0;2;0.00;15.0
"agence video genève";0;1;0.00;3.0
"agence video institutionnelle à lyon";0;89;0.00;23.7
"agence video lyon";0;446;0.00;19.7
"agence video marketing";0;47;0.00;45.1
"agence video motion";0;59;0.00;79.4
"agence video motion design";0;333;0.00;77.5
"agence video motion kif60";0;2;0.00;8.5
"agence video paris";0;67;0.00;63.1
"agence video pedagogique";0;1;0.00;94.0
"agence vidéaste";0;22;0.00;28.0
"agence vidéo & motion design";0;1;0.00;94.0
"agence vidéo 3d";0;50;0.00;41.6
"agence vidéo 91";0;3;0.00;75.3
"agence vidéo animation";0;21;0.00;89.2
"agence vidéo animée";0;81;0.00;81.3
"agence vidéo b2b";0;56;0.00;20.9
"agence vidéo brest";0;1;0.00;15.0
"agence vidéo btp lyon";0;11;0.00;33.0
"agence vidéo captation clermont-ferrand";0;2;0.00;13.0
"agence vidéo captation nice";0;4;0.00;69.0
"agence vidéo corporate";0;226;0.00;36.8
"agence vidéo corporate btp france";0;8;0.00;35.9
"agence vidéo corporate btp lyon";0;79;0.00;32.2
"agence vidéo corporate finance france";0;12;0.00;33.2
"agence vidéo corporate immobilier france";0;1;0.00;18.0
"agence vidéo corporate industrie france";0;4;0.00;33.3
"agence vidéo corporate industrie lyon";0;17;0.00;28.5
"agence vidéo corporate industrie paris";0;3;0.00;16.0
"agence vidéo corporate paris";0;16;0.00;24.5
"agence vidéo corporate santé france";0;117;0.00;18.1
"agence vidéo corporate santé lyon";0;122;0.00;10.2
"agence vidéo corporate santé paris";0;33;0.00;11.7
"agence vidéo de luxe genève";0;194;0.00;4.6
"agence vidéo drone";0;31;0.00;16.5
"agence vidéo d⠹entreprise à paris";0;5;0.00;18.2
"agence vidéo entreprise";0;5;0.00;53.6
"agence vidéo essonne";0;3;0.00;11.3
"agence vidéo et motion design";0;130;0.00;54.2
"agence vidéo explicative";0;44;0.00;50.8
"agence vidéo geneve";0;26;0.00;3.5
"agence vidéo genève";0;137;0.00;4.9
"agence vidéo givors";0;2;0.00;38.0
"agence vidéo ia";0;4;0.00;62.5
"agence vidéo industrie france";0;1;0.00;5.0
"agence vidéo industrie lyon";0;3;0.00;19.3
"agence vidéo industrielle";0;1;0.00;11.0
"agence vidéo institutionnelle";0;3;0.00;32.3
"agence vidéo le mans";0;9;0.00;39.0
"agence vidéo lyon";0;2210;0.00;21.7
"agence vidéo lyonnaise";0;27;0.00;26.0
"agence vidéo marketing";0;68;0.00;52.3
"agence vidéo motion design";0;83;0.00;78.9
"agence vidéo médicale";0;18;0.00;28.8
"agence vidéo nantes";0;19;0.00;38.4
"agence vidéo paris";0;175;0.00;46.9
"agence vidéo promotionnelle";0;23;0.00;10.6
"agence vidéo publicitaire";0;263;0.00;11.2
"agence vidéo publicitaire le mans";0;16;0.00;85.7
"agence vidéo rhône";0;17;0.00;10.0
"agence vidéo santé";0;121;0.00;18.5
"agence vidéo santé france";0;91;0.00;18.5
"agence vidéo santé lyon";0;99;0.00;7.6
"agence vidéo santé paris";0;31;0.00;10.0
"agence vidéo secteur santé";0;102;0.00;18.1
"agence vidéo strasbourg";0;8;0.00;36.9
"agence vidéo stratégique";0;4;0.00;22.3
"agence vidéo tech";0;2;0.00;11.0
"agence vidéo yvelines";0;1;0.00;45.0
"agence vidéo à brignais";0;3;0.00;34.7
"agence vidéo à chaponost";0;3;0.00;80.0
"agence vidéo à lyon";0;4;0.00;23.8
"agence vidéos";0;6;0.00;40.8
"agence vista";0;2;0.00;36.5
"agence vr";0;9;0.00;38.7
"agence événementiel lyon";0;1;0.00;1.0
"agences audiovisuelles";0;11;0.00;47.1
"agences de motion design";0;17;0.00;54.2
"agences de production audiovisuelle";0;40;0.00;57.1
"agences motion design";0;87;0.00;50.0
"agencia realidad virtual";0;4;0.00;50.5
"agency motion design";0;13;0.00;77.2
"agency video";0;9;0.00;66.7
"agent motion designer";0;153;0.00;50.1
"agents d'artistes motion designers";0;27;0.00;76.4
"agenzia video";0;1;0.00;72.0
"aide vista";0;5;0.00;97.0
"aimation studio";0;1;0.00;4.0
"alavista vr";0;19;0.00;7.3
"alorem";0;26;0.00;8.3
"ama vista";0;1;0.00;9.0
"amplitud";0;1;0.00;36.0
"amplitude";0;1;0.00;58.0
"amplitude france";0;1;0.00;26.0
"amplitude lyon";0;1;0.00;62.0
"amplitude ortho";0;2;0.00;24.0
"amplitude prothèse";0;1;0.00;28.0
"amplitude robot";0;13;0.00;4.3
"amplitude société";0;1;0.00;98.0
"amplitude system";0;1;0.00;69.0
"amplitude systeme";0;29;0.00;64.6
"amplitude systemes";0;1;0.00;51.0
"amplitude systèmes";0;12;0.00;75.9
"amplitudes 2023";0;1;0.00;77.0
"anim studio";0;3;0.00;7.7
"anim studios";0;1;0.00;92.0
"animation 2d motion design";0;4;0.00;52.3
"animation 2d paris";0;118;0.00;74.2
"animation 3 d";0;1;0.00;45.0
"animation 360 degrés";0;1;0.00;94.0
"animation 3d";0;20;0.00;47.3
"animation 3d architecture lyon";0;4;0.00;25.3
"animation 3d bâtiment lyon";0;1;0.00;36.0
"animation 3d design";0;7;0.00;87.1
"animation 3d film";0;3;0.00;95.3
"animation 3d films";0;1;0.00;93.0
"animation 3d genève";0;94;0.00;9.0
"animation 3d immobilière lyon";0;11;0.00;14.6
"animation 3d luxe";0;28;0.00;27.4
"animation 3d maison lyon";0;11;0.00;16.0
"animation 3d paris";0;376;0.00;23.6
"animation 3d photoréaliste lyon";0;115;0.00;3.4
"animation 3d produit";0;1;0.00;63.0
"animation 3d projet immobilier lyon";0;1;0.00;36.0
"animation and film design";0;1;0.00;47.0
"animation architecture";0;1;0.00;5.0
"animation film studio";0;1;0.00;9.0
"animation film studios";0;1;0.00;77.0
"animation lyon";0;3;0.00;16.0
"animation manager";0;2;0.00;76.5
"animation mapping";0;20;0.00;18.2
"animation mase";0;52;0.00;74.5
"animation motion design";0;54;0.00;37.9
"animation oculus rift";0;1;0.00;80.0
"animation photo lyon";0;6;0.00;39.3
"animation publicitaire";0;1;0.00;76.0
"animation roanne lyon";0;13;0.00;43.9
"animation silhouette lyon";0;2;0.00;58.5
"animation silhouettiste lyon";0;29;0.00;92.0
"animation studio";0;107;0.00;40.6
"animation studio 3d";0;47;0.00;38.2
"animation studio lyon";0;10;0.00;12.2
"animation studio paris";0;485;0.00;37.2
"animation studios in paris";0;1;0.00;50.0
"animation studios near me";0;2;0.00;7.0
"animation studios paris";0;11;0.00;55.4
"animation video 3d";0;8;0.00;95.0
"animation video designer";0;35;0.00;49.8
"animation video mapping";0;454;0.00;8.5
"animations design";0;1;0.00;65.0
"animations motion design";0;20;0.00;63.9
"animations studio";0;4;0.00;60.8
"anime 3d film";0;1;0.00;99.0
"anime studio 3d";0;4;0.00;30.0
"aplitude";0;1;0.00;58.0
"app stan";0;2;0.00;10.5
"application metaverse";0;2;0.00;52.0
"application migo";0;2;0.00;15.5
"application motion design";0;3;0.00;54.3
"application sta";0;2;0.00;10.5
"appsan";0;1;0.00;6.0
"appstain";0;2;0.00;10.0
"aravi";0;788;0.00;8.4
"aravi aravi";0;1;0.00;6.0
"aravi d";0;1;0.00;9.0
"arka studio lyon";0;12;0.00;48.6
"assisqual";0;66;0.00;6.1
"associations graphismes design 2d et 3d lyon";0;3;0.00;37.3
"astavista vr";0;6;0.00;9.2
"audi mapping";0;5;0.00;38.6
"audiovisual agency geneva";0;203;0.00;4.6
"audiovisual agency haute-savoie";0;9;0.00;46.6
"audiovisual production studio";0;2;0.00;28.5
"audiovisuel drone toulouse";0;1;0.00;21.0
"audiovisuel genève";0;6;0.00;10.2
"audiovisuel lyon";0;1;0.00;11.0
"avvista";0;1;0.00;8.0
"b2bverizon";0;2;0.00;18.0
"bachelor animation 3d lyon";0;25;0.00;93.6
"bailvista";0;2;0.00;3.0
"banche deko";0;1;0.00;40.0
"banque de video aérienne";0;1;0.00;34.0
"barpi";0;61;0.00;10.4
"barpiu";0;1;0.00;15.0
"bbgr pro";0;1;0.00;36.0
"bbgr provins adresse";0;1;0.00;77.0
"bdsmvista";0;1;0.00;9.0
"bedrijfsfilm met drone";0;1;0.00;35.0
"berizon";0;1;0.00;16.0
"bienvista";0;2;0.00;53.0
