page;clics;impressions;ctr;position
"https://www.bluevistaprod.com/actualites/category/motion_design/";0;11;0.00;15.8
"https://www.bluevistaprod.com/actualites/category/motion_design/page/2/";0;1;0.00;9.0
"https://www.bluevistaprod.com/actualites/category/motion_design/page/3/";0;2;0.00;4.5
"https://www.bluevistaprod.com/actualites/category/publicite/";0;3;0.00;58.0
"https://www.bluevistaprod.com/actualites/category/tournage-studio/";0;29;0.00;44.0
"https://www.bluevistaprod.com/actualites/category/tournage-studio/page/2/";0;9;0.00;10.0
"https://www.bluevistaprod.com/actualites/category/video-360-vr/";0;296;0.00;28.2
"https://www.bluevistaprod.com/actualites/category/video-panoramique/";0;12;0.00;39.2
"https://www.bluevistaprod.com/actualites/clip-corporate-bos-equipement/";0;6;0.00;11.8
"https://www.bluevistaprod.com/actualites/decouvrez-notre-nouvelle-bande-demo-3d/";0;28;0.00;50.6
"https://www.bluevistaprod.com/actualites/equita-lyon-2019-daily-news/";0;2;0.00;23.5
"https://www.bluevistaprod.com/actualites/equita-lyon-dailynews/";0;39;0.00;46.9
"https://www.bluevistaprod.com/actualites/film-de-presentation-produit/";0;4;0.00;8.0
"https://www.bluevistaprod.com/actualites/film-dentreprise-video-15-ans-dexperience/";0;1;0.00;10.0
"https://www.bluevistaprod.com/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/";0;38;0.00;8.4
"https://www.bluevistaprod.com/actualites/la-realite-virtuelle-oculus-a-bluevista/";0;6;0.00;9.8
"https://www.bluevistaprod.com/actualites/live-video-homeserve-20ans/";0;12;0.00;14.3
"https://www.bluevistaprod.com/actualites/mecenat-club-lyon-la-duchere/";0;3;0.00;8.7
"https://www.bluevistaprod.com/actualites/motion-design-pedagogique/";0;1;0.00;7.0
"https://www.bluevistaprod.com/actualites/nos-dernieres-interviews/";0;83;0.00;4.3
"https://www.bluevistaprod.com/actualites/nouveau-materiel-motion-control-kessler/";0;20;0.00;8.0
"https://www.bluevistaprod.com/actualites/peninsula-octobre-rose/";0;96;0.00;13.9
"https://www.bluevistaprod.com/actualites/projection-semi-transparente-immersive-pour-linauguration-dun-batiment/";0;3;0.00;21.7
"https://www.bluevistaprod.com/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/";0;5;0.00;11.6
"https://www.bluevistaprod.com/actualites/realisation-de-film-dentreprise-ou-corporate/";0;20;0.00;19.4
"https://www.bluevistaprod.com/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/";0;9;0.00;5.2
"https://www.bluevistaprod.com/actualites/show-reel-motion-design/";0;190;0.00;29.3
"https://www.bluevistaprod.com/actualites/show-reel-videos-drone/";0;2;0.00;4.5
"https://www.bluevistaprod.com/actualites/sport-boules-16eme-trophee-emile-terrier/";0;221;0.00;10.8
"https://www.bluevistaprod.com/actualites/stann/";0;7614;0.00;7.1
"https://www.bluevistaprod.com/actualites/streaming-live-et-webtv-demo-2018/";0;10;0.00;14.5
"https://www.bluevistaprod.com/actualites/tag/after-movie/";0;2;0.00;8.5
"https://www.bluevistaprod.com/actualites/tag/event/";0;2;0.00;6.0
"https://www.bluevistaprod.com/actualites/tag/event/feed/";0;7;0.00;39.0
"https://www.bluevistaprod.com/actualites/tag/salon/";0;48;0.00;60.9
"https://www.bluevistaprod.com/actualites/tag/services/";0;5;0.00;35.2
"https://www.bluevistaprod.com/actualites/tournage-en-studio-film-produit-santos/";0;3;0.00;4.7
"https://www.bluevistaprod.com/actualites/un-motion-design-a-lancienne-making-of/";0;8;0.00;12.3
"https://www.bluevistaprod.com/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/";0;3;0.00;8.7
"https://www.bluevistaprod.com/film-corporate-lyon-depuis-2004/";0;3;0.00;47.7
"https://www.bluevistaprod.com/film-entreprise-lyon-15-ans-experience/";0;12;0.00;7.7
"https://www.bluevistaprod.com/nos-competences/";0;249;0.00;9.7
"https://www.bluevistaprod.com/nos-realisations/30-ans-bocuse-dor-tamas-szell/";0;12;0.00;3.8
"https://www.bluevistaprod.com/nos-realisations/abb-af-contactor/";0;2;0.00;11.5
"https://www.bluevistaprod.com/nos-realisations/abb-snk-3d-industrie/";0;10;0.00;10.3
"https://www.bluevistaprod.com/nos-realisations/abb-snk-3d-marine/";0;33;0.00;18.3
"https://www.bluevistaprod.com/nos-realisations/abb-snk-3d-solaire/";0;1;0.00;11.0
"https://www.bluevistaprod.com/nos-realisations/alorem/";0;57;0.00;7.6
"https://www.bluevistaprod.com/nos-realisations/amplitude-voeux-2018/";0;3;0.00;13.0
"https://www.bluevistaprod.com/nos-realisations/amplitude-voeux-2024/";0;6;0.00;38.0
"https://www.bluevistaprod.com/nos-realisations/aravi-saison-2022-2023/";0;24;0.00;12.1
"https://www.bluevistaprod.com/nos-realisations/aravi-saison-2024/";0;11;0.00;19.0
"https://www.bluevistaprod.com/nos-realisations/assisqual/";0;84;0.00;7.0
"https://www.bluevistaprod.com/nos-realisations/bbgr-360/";0;42;0.00;39.4
"https://www.bluevistaprod.com/nos-realisations/bluevista-creative-la-pizza/";0;1297;0.00;6.1
"https://www.bluevistaprod.com/nos-realisations/bluevista-creative-un-monde-virtuel-1-la-moto/";0;148;0.00;13.1
"https://www.bluevistaprod.com/nos-realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/";0;82;0.00;7.2
"https://www.bluevistaprod.com/nos-realisations/bluevista-creative-une-vraie-equipe-2-la-diversite/";0;3;0.00;10.3
"https://www.bluevistaprod.com/nos-realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/";0;11;0.00;9.5
"https://www.bluevistaprod.com/nos-realisations/bluevista-creative-unicorn-team/";0;828;0.00;6.3
"https://www.bluevistaprod.com/nos-realisations/bluevista-motion-design/";0;6;0.00;4.7
"https://www.bluevistaprod.com/nos-realisations/bluevista-showreel-2021/";0;1;0.00;5.0
"https://www.bluevistaprod.com/nos-realisations/bluevista-showreel-2023/";0;1;0.00;9.0
"https://www.bluevistaprod.com/nos-realisations/bluevista-showreel-2024/";0;1;0.00;3.0
"https://www.bluevistaprod.com/nos-realisations/cemoi-a-360/";0;15;0.00;8.9
"https://www.bluevistaprod.com/nos-realisations/cera-agence-innovation/";0;515;0.00;37.1
"https://www.bluevistaprod.com/nos-realisations/cera-fr/";0;1;0.00;15.0
"https://www.bluevistaprod.com/nos-realisations/cisco-1/";0;5;0.00;47.2
"https://www.bluevistaprod.com/nos-realisations/cisco-4/";0;1;0.00;14.0
"https://www.bluevistaprod.com/nos-realisations/clasquin-convention-2024/";0;7;0.00;31.6
"https://www.bluevistaprod.com/nos-realisations/clip-report-massy-grand-ouest/";0;20;0.00;7.7
"https://www.bluevistaprod.com/nos-realisations/convention-huawei/";0;2;0.00;21.5
"https://www.bluevistaprod.com/nos-realisations/cpro-film-corpo/";0;13;0.00;13.8
"https://www.bluevistaprod.com/nos-realisations/cpro-pas-besoin-den-rajouter/";0;21;0.00;8.4
"https://www.bluevistaprod.com/nos-realisations/e-xpert-solutions-aftermovie-ecd-2022/";0;1;0.00;58.0
"https://www.bluevistaprod.com/nos-realisations/e-xpert-solutions-at-defense/";0;25;0.00;32.4
"https://www.bluevistaprod.com/nos-realisations/e-xpert-solutions-devsecops/";0;2;0.00;30.0
"https://www.bluevistaprod.com/nos-realisations/e-xpert-solutions-ecd/";0;3;0.00;37.3
"https://www.bluevistaprod.com/nos-realisations/film-corporate-gf-core/";0;34;0.00;16.6
"https://www.bluevistaprod.com/nos-realisations/funseaker-presentation/";0;1;0.00;26.0
"https://www.bluevistaprod.com/nos-realisations/gf-ds-family/";0;42;0.00;7.4
"https://www.bluevistaprod.com/nos-realisations/gf-gs/";0;71;0.00;8.6
"https://www.bluevistaprod.com/nos-realisations/ghi/";0;9;0.00;7.1
"https://www.bluevistaprod.com/nos-realisations/guitare-en-scene-edition-2023/";0;61;0.00;12.8
"https://www.bluevistaprod.com/nos-realisations/guitare-en-scene-edition-2024/";0;39;0.00;12.7
"https://www.bluevistaprod.com/nos-realisations/hdi-demenagement-nouvelle-tour/";0;10;0.00;5.6
"https://www.bluevistaprod.com/nos-realisations/hitachi-triple-c/";0;14;0.00;19.9
"https://www.bluevistaprod.com/nos-realisations/icsi-briefing-debriefing-minute-darret-2/";0;14;0.00;28.0
"https://www.bluevistaprod.com/nos-realisations/icsi-briefing-debriefing-minute-darret-3/";0;5;0.00;22.0
"https://www.bluevistaprod.com/nos-realisations/irisolaris-presentation-groupe-2024/";0;9;0.00;9.4
"https://www.bluevistaprod.com/nos-realisations/koesio-voeux-2022/";0;2;0.00;6.5
"https://www.bluevistaprod.com/nos-realisations/koesio-voeux-2023/";0;106;0.00;8.2
"https://www.bluevistaprod.com/nos-realisations/koesio-voeux-2025/";0;7;0.00;22.6
"https://www.bluevistaprod.com/nos-realisations/lpa-50ans/";0;4;0.00;16.0
"https://www.bluevistaprod.com/nos-realisations/lyon-la-duchere-arbre-de-noel/";0;7;0.00;6.7
"https://www.bluevistaprod.com/nos-realisations/mapping-bocuse/";0;1;0.00;2.0
"https://www.bluevistaprod.com/nos-realisations/mapping-toky/";0;18;0.00;4.9
"https://www.bluevistaprod.com/nos-realisations/mase-motion-design/";0;5;0.00;7.6
"https://www.bluevistaprod.com/nos-realisations/mlt-superscrew/";0;2;0.00;3.5
"https://www.bluevistaprod.com/nos-realisations/motion-design-sodexo/";0;7;0.00;7.4
"https://www.bluevistaprod.com/nos-realisations/motion-design-veama/";0;5;0.00;5.4
"https://www.bluevistaprod.com/nos-realisations/naos-interview-collaborateur-2/";0;11;0.00;6.4
"https://www.bluevistaprod.com/nos-realisations/naos-interview-collaborateur/";0;5;0.00;6.0
"https://www.bluevistaprod.com/nos-realisations/neurones-it-video-voeux-2021/";0;4;0.00;20.5
"https://www.bluevistaprod.com/nos-realisations/nightswapping/";0;26;0.00;10.5
"https://www.bluevistaprod.com/nos-realisations/opiiec/";0;8;0.00;8.0
"https://www.bluevistaprod.com/nos-realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/";0;3;0.00;5.7
"https://www.bluevistaprod.com/nos-realisations/presentation-video-cpro-en-1-minute/";0;70;0.00;18.2
"https://www.bluevistaprod.com/nos-realisations/printemps-mapping/";0;12;0.00;12.0
"https://www.bluevistaprod.com/nos-realisations/riso-comcolor/";0;12;0.00;6.9
"https://www.bluevistaprod.com/nos-realisations/santos-film-produit/";0;3;0.00;8.0
"https://www.bluevistaprod.com/nos-realisations/santos-i-grind-coffee-grinder-reveal/";0;5;0.00;8.6
"https://www.bluevistaprod.com/nos-realisations/santos-i-grind-coffee-grinder-teaser/";0;1;0.00;19.0
"https://www.bluevistaprod.com/nos-realisations/serl-video-360-vr/";0;139;0.00;27.4
"https://www.bluevistaprod.com/nos-realisations/servier-cancer-colorectal/";0;1;0.00;5.0
"https://www.bluevistaprod.com/nos-realisations/sfs-enveloppe-structure/";0;8;0.00;30.1
"https://www.bluevistaprod.com/nos-realisations/sfs-intec/";0;14;0.00;6.7
"https://www.bluevistaprod.com/nos-realisations/sfs-menuiserie-industrie/";0;5;0.00;5.8
"https://www.bluevistaprod.com/nos-realisations/sgs-making-of/";0;1;0.00;7.0
"https://www.bluevistaprod.com/nos-realisations/sgs-protection-lab/";0;3;0.00;11.7
"https://www.bluevistaprod.com/nos-realisations/tetro-avenue-83/";0;4;0.00;7.5
"https://www.bluevistaprod.com/nos-realisations/tetro-carre-senart/";0;5;0.00;10.0
"https://www.bluevistaprod.com/nos-realisations/tetro-deepweb/";0;12;0.00;8.4
"https://www.bluevistaprod.com/nos-realisations/tetro-fete-des-lumieres-2022/";0;8;0.00;4.3
"https://www.bluevistaprod.com/nos-realisations/tetro-navya/";0;1;0.00;8.0
"https://www.bluevistaprod.com/nos-realisations/tetro-ox/";0;5;0.00;7.0
"https://www.bluevistaprod.com/nos-realisations/timelapse-lacleda/";0;26;0.00;25.7
"https://www.bluevistaprod.com/nos-realisations/video-magasin-american-vintage/";0;2;0.00;8.0
"https://www.bluevistaprod.com/nos-realisations/wall-mapping-les-mesaventures-de-toky/";0;9;0.00;5.9
"https://www.bluevistaprod.com/nos-realisations/waygoo-motion-design/";0;3;0.00;7.7
"https://www.bluevistaprod.com/nos-realisations/we-see-big/";0;1;0.00;6.0
"https://www.bluevistaprod.com/realisation-de-film-banques-assurances/";0;54;0.00;34.4
"https://www.bluevistaprod.com/realisation-de-film-evenements/";0;1091;0.00;27.4
"https://www.bluevistaprod.com/realisations/abb-snk-3d-industrie/";0;3;0.00;3.3
"https://www.bluevistaprod.com/realisations/alorem/";0;2;0.00;24.5
"https://www.bluevistaprod.com/realisations/amplitude-voeux-2018/";0;1;0.00;20.0
"https://www.bluevistaprod.com/realisations/waygoo-motion-design/";0;5;0.00;9.6
"https://www.bluevistaprod.com/wp-content/uploads/2023/05/image-article-contenu-1.png";0;1;0.00;10.0
