date,clics,impressions,ctr,position
2025-09-04,2,231,0.87,23.9
2026-05-05,2,231,0.87,23.7
2026-04-22,2,230,0.87,23.2
2025-09-12,2,228,0.88,20.7
2025-09-02,2,227,0.88,23.4
2025-05-09,2,225,0.89,33.5
2026-07-23,2,225,0.89,37
2025-08-11,2,224,0.89,27.2
2025-07-10,2,220,0.91,28.2
2025-08-27,2,219,0.91,23
2026-03-12,2,219,0.91,16.5
2025-08-26,2,217,0.92,21.6
2025-09-03,2,217,0.92,24.1
2026-03-11,2,216,0.93,19.2
2026-03-14,2,213,0.94,19.7
2025-10-16,2,212,0.94,14.1
2026-04-20,2,211,0.95,22
2025-06-29,2,206,0.97,32
2025-08-09,2,204,0.98,22.9
2026-06-19,2,203,0.99,37.8
2025-07-17,2,202,0.99,31.4
2025-08-29,2,199,1.01,22.4
2026-04-01,2,195,1.03,21.9
2026-06-12,2,193,1.04,39.3
2026-06-07,2,191,1.05,34.5
2025-10-27,2,190,1.05,12
2026-06-05,2,185,1.08,36.3
2025-10-13,2,184,1.09,11.9
2026-04-24,2,183,1.09,23
2026-04-23,2,182,1.1,23.8
2025-10-07,2,180,1.11,12.4
2025-12-03,2,180,1.11,14.8
2026-04-16,2,178,1.12,25.8
2025-10-10,2,177,1.13,12.8
2025-07-31,2,173,1.16,25.1
2025-10-19,2,172,1.16,12.5
2026-05-08,2,172,1.16,24
2025-08-12,2,171,1.17,22.9
2025-10-04,2,169,1.18,11.5
2025-10-15,2,168,1.19,13.6
2025-12-10,2,168,1.19,13.5
2025-07-23,2,165,1.21,27.9
2025-10-30,2,163,1.23,11.5
2026-02-09,2,161,1.24,24.6
2026-01-26,2,159,1.26,17.5
2026-05-14,2,158,1.27,26.2
2025-11-12,2,157,1.27,10.7
2026-04-04,2,157,1.27,23.2
2025-12-27,2,153,1.31,14.6
2026-01-25,2,153,1.31,17.1
2025-08-05,2,151,1.32,28.9
2025-09-15,2,150,1.33,11.9
2026-03-03,2,150,1.33,18.2
2026-08-08,2,150,1.33,38.1
2025-12-18,2,149,1.34,14.3
2026-02-02,2,149,1.34,20.5
2026-01-16,2,148,1.35,18
2025-12-02,2,146,1.37,10.8
2025-11-26,2,144,1.39,14.9
2026-04-03,2,144,1.39,22
2025-11-22,2,141,1.42,11.4
2025-11-27,2,136,1.47,12.6
2025-12-30,2,134,1.49,16.7
2026-01-09,2,131,1.53,14.7
2025-11-21,2,127,1.57,13.1
2026-02-11,2,127,1.57,20.6
2026-02-08,2,125,1.6,22.9
2026-02-07,2,124,1.61,16.8
2026-03-02,2,123,1.63,18.1
2026-08-03,2,120,1.67,39.3
2026-03-19,2,117,1.71,23
2026-02-20,2,106,1.89,16.6
2026-03-17,2,104,1.92,21.6
2026-02-17,2,101,1.98,17
2026-02-23,2,101,1.98,14.8
2026-02-04,2,95,2.11,15
2026-03-06,2,91,2.2,18.1
2025-09-18,2,79,2.53,12.7
2026-02-24,2,74,2.7,17.4
2026-03-15,2,71,2.82,24
2026-02-03,2,66,3.03,20.3
2025-06-06,1,453,0.22,22.8
2026-07-28,1,441,0.23,43.9
2025-05-27,1,395,0.25,31.8
2026-06-24,1,347,0.29,43.9
2025-06-02,1,325,0.31,30.4
2026-07-02,1,291,0.34,36
2025-05-29,1,288,0.35,26.7
2025-06-11,1,283,0.35,31.2
2025-05-19,1,281,0.36,28.8
2025-05-23,1,281,0.36,30
2025-05-28,1,281,0.36,25.3
2025-06-17,1,279,0.36,21.4
2025-06-22,1,272,0.37,26.8
2026-07-07,1,271,0.37,42.4
2026-07-12,1,267,0.37,42.5
2025-05-26,1,261,0.38,29
2025-05-12,1,257,0.39,32
2026-06-28,1,257,0.39,43.7
2026-07-10,1,257,0.39,42.5
2026-07-11,1,253,0.4,41.3
2025-08-28,1,248,0.4,20.2
2026-08-04,1,246,0.41,41.4
2026-04-29,1,242,0.41,22.7
2026-08-01,1,240,0.42,38.3
2025-05-07,1,239,0.42,29.7
2025-07-02,1,239,0.42,28
2025-08-20,1,239,0.42,22.2
2026-03-10,1,239,0.42,19.6
2026-07-18,1,239,0.42,39.8
2025-09-01,1,234,0.43,23
2026-05-27,1,233,0.43,35.4
2026-07-03,1,233,0.43,41
2026-01-29,1,232,0.43,20.4
2025-06-27,1,228,0.44,32.2
2025-07-11,1,228,0.44,30.4
2025-05-22,1,226,0.44,31.6
2026-04-21,1,225,0.44,25.4
2026-07-21,1,223,0.45,38.7
2025-09-05,1,222,0.45,23.5
2025-09-06,1,221,0.45,24.7
2025-05-11,1,220,0.45,32.5
2026-07-04,1,220,0.45,41.5
2025-06-24,1,217,0.46,27
2025-07-14,1,216,0.46,31.8
2025-07-16,1,216,0.46,28.2
2026-07-20,1,215,0.47,37.4
2026-03-09,1,212,0.47,18.5
2025-08-14,1,211,0.47,22
2025-08-23,1,209,0.48,25.4
2025-08-25,1,209,0.48,24.3
2025-07-21,1,205,0.49,28.2
2026-08-14,1,205,0.49,43.6
2025-10-20,1,204,0.49,12.4
2026-04-07,1,203,0.49,23
2025-07-13,1,202,0.5,30.7
2026-06-08,1,202,0.5,37.4
2025-07-18,1,200,0.5,28
2025-08-31,1,200,0.5,26.4
2026-03-23,1,200,0.5,20.9
2026-05-03,1,200,0.5,25.8
2025-08-30,1,198,0.51,23.1
2025-09-11,1,197,0.51,19.5
2026-05-30,1,197,0.51,20.4
2026-05-11,1,194,0.52,27.1
2026-01-21,1,191,0.52,17.8
2026-06-11,1,191,0.52,37.3
2026-07-24,1,191,0.52,41.5
2026-08-16,1,191,0.52,43.2
2025-10-09,1,188,0.53,11.7
2025-12-17,1,187,0.53,16.3
2026-04-15,1,187,0.53,23.1
2025-08-01,1,186,0.54,22.7
2025-10-26,1,186,0.54,11.6
2026-05-28,1,186,0.54,33.4
2025-10-06,1,184,0.54,11.3
2025-07-24,1,182,0.55,25.1
2025-10-29,1,181,0.55,12.2
2025-10-14,1,180,0.56,13.5
2025-08-16,1,178,0.56,22.7
2025-10-08,1,178,0.56,12.1
2026-01-19,1,178,0.56,17.3
2025-11-03,1,171,0.58,11.3
2026-03-31,1,170,0.59,19.7
2026-04-28,1,170,0.59,19.9
2026-04-13,1,169,0.59,25.1
2025-10-17,1,165,0.61,13.9
2025-11-19,1,165,0.61,9.1
2025-12-08,1,164,0.61,13.2
2025-12-15,1,163,0.61,17.4
2026-05-15,1,163,0.61,27.5
2025-08-13,1,162,0.62,24.2
2025-09-29,1,162,0.62,12.8
2025-10-25,1,161,0.62,11.7
2026-01-05,1,161,0.62,15.7
2025-12-19,1,160,0.63,16.1
2026-05-26,1,160,0.63,32.4
2025-09-25,1,158,0.63,12.5
2026-01-04,1,158,0.63,18.3
2025-11-08,1,157,0.64,9.1
2026-05-07,1,157,0.64,26.8
2025-11-10,1,156,0.64,11.4
2026-04-26,1,155,0.65,25
2026-06-04,1,155,0.65,33.6
2025-09-16,1,154,0.65,13.1
2025-12-13,1,154,0.65,13.3
2026-01-27,1,154,0.65,19.9
2026-05-04,1,153,0.65,25.2
2025-12-12,1,151,0.66,15
2025-12-22,1,149,0.67,15.7
2026-01-01,1,149,0.67,17.4
2026-05-21,1,149,0.67,31
2025-09-14,1,148,0.68,12.6
2025-11-07,1,147,0.68,10.6
2025-10-02,1,145,0.69,11.7
2025-12-20,1,144,0.69,16.6
2026-01-30,1,144,0.69,18.5
2026-03-24,1,144,0.69,21.6
2025-09-17,1,143,0.7,12.7
2026-03-29,1,143,0.7,22
2025-11-01,1,140,0.71,12.5
2026-04-10,1,139,0.72,25.8
2025-10-31,1,136,0.74,10.9
2026-05-22,1,136,0.74,30.5
2025-06-25,1,134,0.75,35.4
2025-11-15,1,133,0.75,11.4
2026-01-24,1,131,0.76,18.4
2026-02-10,1,131,0.76,21.7
2025-11-24,1,124,0.81,12.8
2026-01-31,1,122,0.82,23.5
2026-04-11,1,122,0.82,26.3
2025-11-14,1,121,0.83,12.4
2026-05-23,1,120,0.83,35.3
2026-02-14,1,116,0.86,23.3
2026-03-20,1,114,0.88,19.8
2026-02-26,1,108,0.93,16.3
2026-02-27,1,100,1,16.6
2026-02-19,1,97,1.03,18.5
2026-03-16,1,94,1.06,23.5
2026-03-05,1,91,1.1,23.1
2026-03-28,1,85,1.18,20
2026-03-01,1,76,1.32,16.8
2025-04-29,1,54,1.85,66.8
2025-04-24,1,47,2.13,67.1
2025-04-21,1,41,2.44,72.5
2026-06-30,0,386,0,43.6
2025-06-08,0,379,0,23.1
